horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,primary,presence:b2_30m_multileg_premium_share,presence,finite_presence_binary,419,0.0002481952969836,0.0,0.0008804474709228,-0.0480124353031622,0.1071566231040196,4,5,410,9,0.0095465393794749,0.0119331742243436
5,primary,presence:b2_30m_multileg_size_share,presence,finite_presence_binary,419,0.0002209699269875,0.0,0.0004110472675599,-0.0206618127430166,0.0956054298816148,3,2,414,5,0.0071599045346062,0.0047732696897374
5,primary,presence:b2_30m_otm_premium_share,presence,finite_presence_binary,419,-0.0005284239639998,0.0,0.0009693040032844,-0.1054221125513359,0.0695416110663317,3,7,409,10,0.0071599045346062,0.0167064439140811
5,primary,presence:b2_30m_passive_premium_share,presence,finite_presence_binary,419,0.0001031696233847,0.0,0.000304421560608,-0.0225523846018884,0.0853903530464858,1,2,416,3,0.0023866348448687,0.0047732696897374
5,primary,presence:b2_30m_premium,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_rate_per_second,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_sell_premium_share,presence,finite_presence_binary,419,-9.888657356222486e-06,0.0,0.0009851090716007,-0.1055959411371517,0.1112165000396068,2,2,415,4,0.0047732696897374,0.0047732696897374
5,primary,presence:b2_30m_size,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_sweep_premium_share,presence,finite_presence_binary,419,-1.4723668610345975e-05,0.0,0.0006077203547481,-0.0465396527299656,0.0658382434366164,2,4,413,6,0.0047732696897374,0.0095465393794749
5,primary,presence:b2_30m_trades,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_vega_flow,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_vega_flow_abs,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_vega_flow_call,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_vega_flow_long_dte,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_vega_flow_put,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_vega_flow_short_dte,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
